quality,quality,quality,quality,quality,quality,quality,quality,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
8760.0,6.47203196347032,3.500088036194173,3.0,3.0,3.0,10.0,10.0,8760.0,10.763333333333255,7.536694287244812,-9.4,4.9,11.2,16.1,32.3,8760.0,76.64086757990867,16.152077841880196,19.0,66.0,80.0,90.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,11.218801369863037,8.024689420971155,-7.4,4.9,11.4,16.7,36.1,8760.0,76.48812785388128,17.011788037061923,13.0,67.0,80.0,90.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,11.221335616438362,6.31836856286381,-6.7,6.7,11.0,15.7,33.1,8760.0,76.91678082191781,16.255250526494297,18.0,68.0,81.0,90.0,100.0
8784.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8784.0,10.504086976320579,6.634239582459778,-5.8,5.7,9.9,15.5,30.9,8784.0,75.44933970856103,16.334296090028577,19.0,66.0,78.0,88.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.649897260273946,7.312681603878309,-13.6,5.5,11.0,15.9,33.8,8760.0,76.02819634703197,15.673304558917486,25.0,66.0,79.0,89.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.298961187214635,8.285936655944942,-9.2,3.1,9.4,15.4,36.2,8760.0,77.37009132420091,17.314054326328904,22.0,67.0,82.0,91.0,100.0
2160.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2160.0,4.995185185185185,4.647755908167055,-5.9,1.4,4.8,8.5,17.8,2160.0,79.4125,16.312054529506646,20.0,72.0,83.0,92.0,100.0
6335.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,6335.0,12.436116811365435,5.951318620069115,-7.2,8.2,12.8,16.2,30.9,6335.0,80.87545382794002,16.37372735322279,15.0,72.0,86.0,93.0,100.0
8619.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8619.0,10.125443786982242,6.869674904955918,-9.9,5.1,9.4,15.2,32.2,8619.0,81.65448427891867,16.707054602631654,22.0,72.0,87.0,95.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.871381278538781,7.2219522958574585,-13.1,4.7,9.9,14.9,35.0,8760.0,81.337100456621,16.3466890109353,23.0,73.0,87.0,94.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,8.221187214611879,8.58300670339006,-14.3,1.3,8.7,14.2,33.6,8760.0,82.58664383561644,16.729223140248067,24.0,74.0,88.0,95.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.089143835616497,6.9516845589696805,-8.7,4.6,10.2,15.1,30.7,8760.0,83.14840182648402,17.050849980522823,14.0,75.0,89.0,97.0,100.0
8478.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8478.0,9.749386647794243,7.278655700650213,-15.3,5.1,9.3,14.7,37.0,8478.0,83.01899032790753,14.982786484128194,22.0,75.0,87.0,95.0,100.0
8754.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8754.0,9.02871830020559,7.609894527034758,-11.0,3.2,8.9,14.4,34.2,8754.0,82.55825908156271,16.18215313813393,28.0,74.0,88.0,95.0,100.0
8721.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8720.0,10.814059633027505,6.633376805321711,-8.9,6.1,10.8,15.3,32.2,8720.0,83.59896788990825,15.388476401313872,23.0,75.0,88.0,96.0,100.0
8752.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8752.0,10.120703839122468,6.31471363771969,-5.4,5.3,10.0,14.3,35.2,8752.0,83.77125228519196,15.613050510861385,28.0,75.0,88.0,97.0,100.0
8783.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8783.0,9.866492086986195,7.493405957394496,-11.7,4.5,9.2,15.6,32.2,8783.0,85.53728794261642,15.39360431377054,26.0,77.0,91.0,98.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,9.989292237442935,6.82986694594829,-9.8,4.8,9.9,15.1,32.6,8760.0,85.31061643835616,15.436133286263232,27.0,77.0,91.0,98.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8744.0,10.814695791399773,8.173328783057137,-11.0,4.475,10.5,16.6,35.8,8744.0,78.98147301006405,18.480883714392164,14.0,67.0,85.0,94.0,100.0
